States,County,Total Population,Hispanic Men,Hispanic Women,White Men,White Women,Black Men,Black Women,Native Men,Native Women,Asian Men,Asian Women,Pacific Men,Pacific Women,Others
Alabama,St. Clair County,"86,937","1,059",940,"37,339","37,642","4,130","3,939",101,114,330,330,7,6,"1,000"
Alabama,Sumter County,"13,084",14,17,"1,428","1,784","4,333","4,922",34,33,165,225,0,0,129
Alabama,Talladega County,"80,888",866,909,"24,669","26,372","12,564","13,413",111,120,222,216,9,11,"1,406"
Alabama,Tallapoosa County,"40,756",451,506,"13,642","14,435","5,202","5,858",84,90,75,85,0,0,328
Alabama,Tuscaloosa County,"204,424","3,487","3,619","61,849","65,673","30,486","33,317",106,128,"1,491","1,599",29,37,"2,603"
Alabama,Walker County,"64,927",747,765,"28,375","29,646","1,857","2,032",19,20,142,149,0,0,"1,175"
Alabama,Washington County,"16,746",43,36,"5,509","5,394","2,036","2,076",553,704,82,76,0,0,237
Alabama,Wilcox County,"10,919",25,26,"1,414","1,519","3,625","4,245",1,1,0,0,0,0,63
Alabama,Winston County,"23,968",352,360,"11,146","11,404",61,59,29,30,30,37,2,2,456
Alaska,Aleutians East Borough,"3,338",198,125,317,199,98,61,766,482,534,336,28,18,176
Alaska,Aleutians West Census Area,"5,784",475,303,876,558,176,113,420,243,"1,322",857,91,56,294
Alaska,Anchorage Municipality,"298,225","13,572","12,802","89,874","86,594","8,076","7,542","10,350","9,927","14,020","13,315","3,515","3,397","25,241"
Alaska,Bethel Census Area,"17,957",208,185,967,860,61,54,"7,723","7,002",88,78,0,0,731
Alaska,Bristol Bay Borough,917,23,17,267,193,2,1,183,132,7,5,1,1,85
Alaska,Denali Borough,"2,303",8,7,965,938,2,2,25,24,54,53,0,0,225
Alaska,Dillingham Census Area,"4,974",75,78,409,397,10,11,"1,879","1,697",38,35,0,0,345
Alaska,Fairbanks North Star Borough,"100,031","4,221","3,477","38,421","32,657","2,171","1,841","3,286","2,982","1,599","1,398",244,202,"7,532"
Alaska,Haines Borough,"2,537",37,33,"1,045",959,0,0,99,91,51,47,2,2,171
Alaska,Hoonah-Angoon Census Area,"2,146",60,55,487,446,30,27,418,379,30,27,1,0,186
Alaska,Juneau City and Borough,"32,434","1,062","1,001","10,923","10,280",164,160,"1,778","1,717","1,106","1,065",158,146,"2,874"
Alaska,Kenai Peninsula Borough,"57,961","1,185","1,095","24,438","22,491",157,132,"2,208","1,910",457,396,94,87,"3,311"
Alaska,Ketchikan Gateway Borough,"13,745",337,316,"4,548","4,305",35,33,957,897,544,518,2,2,"1,251"
Alaska,Kodiak Island Borough,"13,773",656,563,"3,704","3,191",11,8,909,831,"1,631","1,410",69,57,733
