States,County,Total Population,Hispanic Men,Hispanic Women,White Men,White Women,Black Men,Black Women,Native Men,Native Women,Asian Men,Asian Women,Pacific Men,Pacific Women,Others
Georgia,Fayette County,"110,306","3,739","4,042","34,381","36,337","11,289","11,954",135,145,"2,347","2,512",34,45,"3,346"
Georgia,Floyd County,"96,471","4,984","5,221","33,324","35,530","6,747","7,161",50,48,697,727,0,0,"1,982"
Georgia,Forsyth County,"211,300","9,977","10,047","78,605","79,608","3,003","3,030",183,190,"10,911","11,299",20,19,"4,408"
Georgia,Franklin County,"22,328",465,519,"9,148","9,591","1,032","1,146",7,6,70,78,0,0,266
Georgia,Fulton County,"1,010,420","36,733","37,657","200,958","202,251","205,898","234,481",752,784,"33,576","33,509",131,118,"23,572"
Georgia,Gilmer County,"29,614","1,708","1,691","12,793","12,529",88,86,16,16,69,70,2,2,544
Georgia,Glascock County,"3,027",23,25,"1,279","1,366",128,137,11,12,0,0,0,0,46
Georgia,Glynn County,"83,467","2,626","2,973","25,219","27,998","9,999","11,396",161,178,497,559,16,20,"1,825"
Georgia,Gordon County,"56,424","4,271","4,413","21,808","22,188","1,090","1,130",10,10,279,314,5,5,901
Georgia,Grady County,"25,048","1,334","1,428","7,122","7,487","3,486","3,564",53,61,64,72,35,32,310
Georgia,Greene County,"16,732",488,525,"4,660","4,771","2,849","3,136",4,5,75,83,2,2,132
Georgia,Gwinnett County,"889,954","91,770","92,718","170,363","178,966","111,893","118,780",638,682,"48,730","50,855",157,157,"24,245"
Georgia,Habersham County,"43,878","2,879","3,320","16,201","17,716",584,777,16,21,493,523,45,49,"1,254"
Georgia,Hall County,"192,865","27,294","26,336","58,731","59,940","6,838","7,181",160,153,"1,613","1,645",7,7,"2,960"
Georgia,Hancock County,"8,667",100,57,"1,216",869,"3,880","2,439",0,0,25,22,8,4,47
Georgia,Haralson County,"28,722",207,211,"12,715","13,473",606,624,33,30,109,113,0,0,601
Georgia,Harris County,"33,198",544,534,"12,912","12,692","2,611","2,676",18,17,155,152,0,0,887
Georgia,Hart County,"25,535",453,488,"9,469","9,700","2,299","2,544",3,4,113,123,3,4,332
Georgia,Heard County,"11,607",36,38,"4,900","4,960",569,587,0,0,29,30,4,4,450
Georgia,Henry County,"217,506","6,720","7,352","49,030","52,605","42,077","46,391",61,68,"3,348","3,766",0,0,"6,088"
Georgia,Houston County,"150,341","4,789","5,086","42,143","44,249","21,529","23,075",229,235,"2,192","2,319",0,0,"4,495"
Georgia,Irwin County,"9,278",56,57,"3,190","3,082","1,371","1,226",0,0,22,19,0,0,255
Georgia,Jackson County,"63,851","2,239","2,263","25,987","26,593","2,098","2,197",26,28,534,552,9,8,"1,317"
Georgia,Jasper County,"13,732",258,269,"4,921","5,180","1,389","1,467",13,13,18,19,0,0,185
Georgia,Jeff Davis County,"14,999",840,875,"5,258","5,487","1,277","1,210",0,0,0,0,0,0,52
Georgia,Jefferson County,"15,954",275,299,"3,184","3,465","4,173","4,436",6,8,7,7,0,0,94
Georgia,Jenkins County,"8,929",275,297,"2,397","2,624","1,519","1,649",8,9,35,38,0,0,78
Georgia,Johnson County,"9,800",121,106,"3,368","2,770","1,919","1,388",0,0,8,7,0,0,113
Georgia,Jones County,"28,540",199,216,"9,947","10,559","3,436","3,594",21,25,92,107,0,0,344
Georgia,Lamar County,"18,282",205,207,"5,770","6,114","2,491","2,801",8,10,67,70,0,0,539
Georgia,Lanier County,"10,388",283,282,"3,584","3,547","1,242","1,254",0,0,15,15,0,0,166
Georgia,Laurens County,"47,451",586,617,"13,204","14,376","8,152","9,276",16,15,238,272,3,4,692
Georgia,Lee County,"29,216",399,399,"10,570","10,690","2,821","2,863",7,5,357,359,12,12,722
Georgia,Liberty County,"62,120","3,949","3,772","12,815","12,179","12,417","12,431",135,131,627,653,143,136,"2,732"
Georgia,Lincoln County,"7,768",54,62,"2,385","2,693","1,179","1,323",1,1,9,9,1,1,50
Georgia,Long County,"17,857","1,025","1,011","5,085","5,368","2,086","2,191",19,19,75,72,11,12,883
Georgia,Lowndes County,"113,941","3,062","3,089","30,627","31,469","19,827","21,277",126,120,"1,044","1,082",25,23,"2,170"
Georgia,Lumpkin County,"31,567",722,753,"14,070","14,577",329,342,110,112,54,57,0,0,441
Georgia,Macon County,"13,675",321,258,"2,397","2,061","4,570","3,533",31,24,108,113,0,0,259
Georgia,Madison County,"28,600",681,706,"11,899","11,804","1,226","1,232",43,41,210,199,0,0,559
Georgia,Marion County,"8,558",72,71,"2,443","2,620","1,543","1,505",0,0,29,32,19,21,203
Georgia,McDuffie County,"21,488",279,332,"5,498","6,134","3,981","4,668",0,0,47,52,74,104,319
Georgia,McIntosh County,"14,061",104,107,"4,257","4,419","2,413","2,515",8,8,0,0,10,10,210
Georgia,Meriwether County,"21,152",207,234,"5,748","6,161","3,839","4,268",15,17,59,69,0,0,535
Georgia,Miller County,"5,884",11,11,"1,995","2,025",848,928,22,25,0,0,0,0,19
Georgia,Mitchell County,"22,574",520,479,"5,492","4,945","5,514","5,204",8,7,39,31,9,6,320
Georgia,Monroe County,"26,795",324,305,"9,670","9,642","3,209","3,100",19,18,101,104,0,0,303
Georgia,Montgomery County,"8,962",308,277,"2,891","2,882","1,247","1,080",7,9,14,12,0,0,235
Georgia,Morgan County,"18,013",278,282,"6,202","6,700","1,921","2,311",11,11,4,4,0,0,289
Georgia,Murray County,"39,444","2,803","2,850","16,140","16,713",178,188,13,13,63,70,0,0,413
Georgia,Muscogee County,"198,647","7,677","7,153","40,463","41,081","42,691","46,623",358,303,"2,258","2,427",190,114,"7,309"
Georgia,Newton County,"105,042","2,549","2,828","24,469","26,678","21,125","23,619",82,81,490,528,58,68,"2,467"
Georgia,Oconee County,"35,972",838,870,"14,984","15,540",951,986,9,9,726,746,0,0,313
Georgia,Oglethorpe County,"14,654",314,291,"5,598","5,524","1,305","1,325",7,6,18,21,0,0,245
Georgia,Paulding County,"152,399","4,337","4,504","54,463","56,793","13,267","13,984",126,127,701,713,22,26,"3,336"
Georgia,Peach County,"27,027","1,050",972,"5,846","6,570","5,817","6,175",6,7,139,157,9,11,268
Georgia,Pickens County,"30,343",467,449,"14,074","14,337",76,74,6,7,80,78,4,4,687
Georgia,Pierce County,"19,141",516,451,"8,083","8,002",849,856,39,40,12,12,0,0,281
Georgia,Pike County,"17,919",131,136,"7,657","7,876",889,944,0,0,12,12,0,0,262
Georgia,Polk County,"41,444","2,647","2,757","14,576","15,243","2,540","2,708",0,0,127,140,6,5,695
Georgia,Pulaski County,"11,396",156,246,"2,998","3,839","1,691","2,268",9,9,0,0,0,0,180
Georgia,Putnam County,"21,430",672,726,"6,882","7,127","2,645","2,943",1,1,50,51,0,0,332
Georgia,Quitman County,"2,140",6,6,429,467,519,565,0,0,51,55,2,2,38
Georgia,Rabun County,"16,354",649,666,"7,079","7,152",147,153,38,41,63,70,0,0,296
Georgia,Randolph County,"7,206",55,61,"1,285","1,323","2,146","2,156",0,0,51,50,0,0,79
Georgia,Richmond County,"201,568","4,881","4,735","35,012","36,579","53,014","58,254",185,178,"1,744","1,817",222,213,"4,734"
Georgia,Rockdale County,"88,482","4,394","4,615","14,568","16,008","21,053","24,096",44,51,805,929,91,127,"1,701"
Georgia,Schley County,"5,168",123,133,"1,694","1,778",668,749,0,0,0,0,0,0,23
Georgia,Screven County,"14,037",124,126,"3,761","3,890","2,872","2,981",18,19,35,37,0,0,174
Georgia,Seminole County,"8,549",120,130,"2,460","2,801","1,345","1,529",0,0,38,41,0,0,85
Georgia,Spalding County,"64,192","1,354","1,422","18,331","19,766","10,474","10,922",125,127,278,324,9,10,"1,050"
Georgia,Stephens County,"25,625",373,431,"9,916","11,303","1,354","1,647",29,33,51,55,0,0,433
Georgia,Stewart County,"5,832",825,357,897,605,"1,755","1,176",5,2,89,38,0,0,83
Georgia,Sumter County,"30,687",746,868,"5,690","6,514","7,668","8,384",12,12,158,178,0,0,457
Georgia,Talbot County,"6,423",74,73,"1,231","1,350","1,691","1,929",2,2,14,16,0,0,41
Georgia,Taliaferro County,"1,844",39,38,316,305,577,558,0,0,2,2,0,0,7
Georgia,Tattnall County,"25,402","1,827",904,"8,218","6,615","4,572","2,840",39,12,31,14,5,1,324
Georgia,Taylor County,"8,267",36,39,"2,339","2,411","1,621","1,715",0,0,36,38,0,0,32
Georgia,Telfair County,"16,339","1,171",731,"4,593","3,419","3,714","2,618",0,0,0,0,0,0,93
Georgia,Terrell County,"8,978",117,124,"1,536","1,647","2,523","2,916",2,2,7,9,0,0,95
Georgia,Thomas County,"44,909",731,820,"12,311","13,570","7,484","8,566",23,22,158,198,10,11,"1,005"
Georgia,Tift County,"40,531","2,272","2,343","11,066","11,760","5,602","6,287",17,17,214,251,6,8,688
Georgia,Toombs County,"27,160","1,478","1,656","7,795","8,629","3,085","3,793",0,0,117,130,0,0,477
Georgia,Towns County,"11,173",77,85,"5,010","5,603",53,58,15,16,12,13,0,0,231
Georgia,Treutlen County,"6,752",71,73,"2,298","2,292","1,015",983,0,0,0,0,0,0,20
Georgia,Troup County,"69,433","1,239","1,317","19,096","20,637","11,666","12,660",15,17,617,674,7,7,"1,481"
Georgia,Turner County,"8,036",179,190,"2,167","2,224","1,539","1,634",8,8,16,15,0,0,56
Georgia,Twiggs County,"8,323",13,14,"2,247","2,323","1,751","1,792",1,1,3,3,0,0,175
Georgia,Union County,"22,262",333,342,"10,210","10,747",90,93,46,45,73,74,0,0,209
Georgia,Upson County,"26,241",281,320,"8,587","9,134","3,479","3,982",39,39,61,66,8,8,237
Georgia,Walker County,"68,609",697,657,"30,980","31,720","1,439","1,504",29,30,204,214,0,0,"1,135"
Georgia,Walton County,"88,695","1,742","1,806","32,974","34,360","6,850","7,749",93,91,518,560,32,30,"1,890"
Georgia,Ware County,"35,688",712,707,"11,647","11,117","5,066","5,461",69,70,189,210,8,9,423
Georgia,Warren County,"5,410",14,16,941,"1,067","1,534","1,741",0,0,24,28,7,8,30
Georgia,Washington County,"20,506",241,223,"4,507","4,352","5,427","5,416",0,0,61,64,0,0,215
Georgia,Wayne County,"29,833",958,891,"10,647","10,589","3,128","2,701",10,8,64,70,0,0,767
Georgia,Webster County,"2,627",28,25,644,624,644,636,1,1,0,0,0,0,24
Georgia,Wheeler County,"7,952",88,41,"2,850","1,611","2,170","1,148",15,12,0,0,0,0,17
Georgia,White County,"28,509",424,450,"12,786","13,588",278,304,18,19,77,74,0,0,491
Georgia,Whitfield County,"103,963","17,654","17,849","30,608","31,233","1,995","2,003",66,70,708,697,0,0,"1,080"
Georgia,Wilcox County,"8,896",237,145,"2,943","2,256","1,964","1,172",9,11,0,0,0,0,159
Georgia,Wilkes County,"9,905",218,230,"2,402","2,656","2,032","2,168",0,0,38,40,0,0,121
Georgia,Wilkinson County,"9,147",122,124,"2,488","2,710","1,676","1,811",2,2,0,0,4,4,204
Georgia,Worth County,"20,809",233,184,"6,876","7,141","2,812","3,050",52,65,30,31,0,0,335
Hawaii,Hawaii County,"196,325","12,212","12,261","29,672","29,826",536,551,194,185,"20,883","21,227","11,156","11,244","46,378"
Hawaii,Honolulu County,"990,060","48,495","46,354","95,714","89,442","11,481","9,910",440,414,"205,884","207,804","42,855","43,416","187,851"
Hawaii,Kalawao County,86,1,2,8,9,0,0,0,0,11,13,13,15,14
Hawaii,Kauai County,"71,093","3,796","3,834","10,379","10,672",231,239,117,118,"11,709","11,675","3,006","3,021","12,296"
Hawaii,Maui County,"164,094","9,032","9,084","24,995","25,052",397,384,96,99,"23,381","23,320","8,133","8,243","31,878"
Idaho,Ada County,"435,117","17,248","16,935","185,669","185,063","2,660","2,715",956,877,"5,456","5,603",268,257,"11,410"
Idaho,Adams County,"3,946",67,63,"1,870","1,784",6,6,25,22,0,0,3,3,97
Idaho,Bannock County,"84,113","3,443","3,482","35,330","35,760",254,242,"1,150","1,071",524,498,78,71,"2,210"
Idaho,Bear Lake County,"5,942",120,123,"2,741","2,822",22,23,5,6,19,20,0,0,41
Idaho,Benewah County,"9,050",154,151,"3,867","3,797",11,11,370,361,43,43,8,8,226
Idaho,Bingham County,"45,369","4,076","4,049","16,824","16,744",66,67,"1,091","1,114",212,212,0,0,914
Idaho,Blaine County,"21,583","2,291","2,244","8,471","8,036",32,30,3,3,105,96,4,5,263
Idaho,Boise County,"6,968",150,134,"3,376","3,020",7,6,36,32,25,23,0,0,159
Idaho,Bonner County,"41,855",596,602,"19,614","19,520",25,24,127,125,154,149,11,10,898
Idaho,Bonneville County,"110,404","7,025","6,930","45,981","46,306",273,271,159,156,457,454,92,90,"2,210"
Idaho,Boundary County,"11,323",266,255,"5,133","5,154",13,11,70,76,27,29,24,26,239
Idaho,Butte County,"2,613",33,31,"1,277","1,194",33,31,0,0,0,0,0,0,14
Idaho,Camas County,886,41,41,400,400,0,0,0,0,0,0,0,0,4
Idaho,Canyon County,"207,027","25,532","25,912","72,598","74,233",430,400,654,676,796,827,200,183,"4,586"
Idaho,Caribou County,"6,862",189,179,"3,253","3,160",0,0,3,3,0,0,0,0,75
Idaho,Cassia County,"23,472","3,219","3,114","8,429","8,088",10,10,106,101,63,63,6,5,258
Idaho,Clark County,"1,055",237,205,290,251,1,0,32,27,0,0,0,0,12
Idaho,Clearwater County,"8,533",185,144,"4,309","3,454",10,8,102,77,25,19,15,11,174
Idaho,Custer County,"4,141",86,79,"1,995","1,822",0,0,23,21,0,0,0,0,115
Idaho,Elmore County,"26,232","2,234","2,060","9,983","9,252",397,348,188,174,430,373,36,30,727
Idaho,Franklin County,"13,120",450,428,"6,104","5,879",15,15,37,38,0,0,6,6,142
Idaho,Fremont County,"12,889",834,769,"5,686","5,281",15,14,21,19,8,7,12,11,212
Idaho,Gem County,"16,850",690,700,"7,332","7,500",0,0,77,78,54,57,0,0,362
Idaho,Gooding County,"15,110","2,222","2,123","5,277","5,024",7,7,84,80,35,32,15,15,189
Idaho,Idaho County,"16,275",276,238,"7,748","7,107",13,9,246,224,25,17,7,5,360
Idaho,Jefferson County,"27,410","1,459","1,393","12,103","11,764",11,10,41,41,34,31,32,32,459
Idaho,Jerome County,"23,039","4,017","3,921","7,320","7,215",8,8,29,29,47,48,34,33,330
Idaho,Kootenai County,"150,128","3,224","3,310","67,486","69,104",253,266,965,971,500,524,73,70,"3,382"
Idaho,Latah County,"38,697",842,759,"17,677","16,907",135,137,156,141,521,494,5,5,918
Idaho,Lemhi County,"7,755",123,122,"3,646","3,590",6,5,23,23,8,9,1,1,198
Idaho,Lewis County,"3,824",81,82,"1,647","1,627",1,1,125,131,14,15,0,0,100
Idaho,Lincoln County,"5,296",815,763,"1,840","1,723",0,0,13,12,5,5,0,0,120
Idaho,Madison County,"38,241","1,366","1,346","17,173","16,854",107,122,2,2,209,224,14,14,808
Idaho,Minidoka County,"20,448","3,535","3,484","6,503","6,387",20,20,54,53,40,41,0,0,311
Idaho,Nez Perce County,"40,014",737,736,"17,245","17,647",69,71,"1,086","1,064",172,174,9,9,995
Idaho,Oneida County,"4,284",89,90,"2,001","2,012",2,2,8,8,0,0,0,0,72
Idaho,Owyhee County,"11,384","1,558","1,460","3,951","3,807",7,7,175,171,10,9,0,0,229
Idaho,Payette County,"22,839","1,961","1,922","9,017","8,978",40,41,70,68,62,68,0,0,612
Idaho,Power County,"7,667","1,290","1,228","2,473","2,315",9,8,134,123,0,0,1,1,85
Idaho,Shoshone County,"12,490",214,214,"5,732","5,734",17,17,139,138,29,29,0,0,227
Idaho,Teton County,"10,776",967,864,"4,616","4,123",11,10,11,10,5,5,0,0,154
Idaho,Twin Falls County,"82,248","6,366","6,492","32,420","33,553",249,268,315,325,621,665,31,32,911
Idaho,Valley County,"10,104",233,215,"4,869","4,698",4,4,9,10,6,7,0,0,49
Idaho,Washington County,"9,996",862,848,"3,865","3,995",2,1,36,38,48,50,0,0,251
Illinois,Adams County,"66,787",464,504,"30,120","31,338","1,265","1,354",73,70,241,258,20,18,"1,062"
Illinois,Alexander County,"6,776",27,38,"2,067","2,118","1,080","1,257",17,24,5,5,0,0,138
Illinois,Bond County,"17,034",309,280,"7,651","7,301",559,469,15,13,104,88,0,0,245
Illinois,Boone County,"53,638","5,539","5,731","19,875","19,802",559,549,82,72,319,317,0,0,793
Illinois,Brown County,"6,791",172,70,"3,065","1,929","1,055",392,1,1,27,15,0,0,64
Illinois,Bureau County,"33,619","1,460","1,477","14,571","15,145",122,127,22,23,119,127,1,1,424
Illinois,Calhoun County,"4,897",27,27,"2,370","2,363",7,7,3,3,22,22,0,0,46
Illinois,Carroll County,"14,704",254,268,"6,809","6,918",84,89,4,5,49,51,0,0,173
Illinois,Cass County,"12,880","1,238","1,175","4,959","4,853",254,243,2,2,18,19,0,0,117
Illinois,Champaign County,"207,946","5,986","5,921","70,416","71,672","13,503","13,405",140,128,"11,074","10,296",65,50,"5,290"
Illinois,Christian County,"33,562",267,244,"16,134","15,813",336,209,45,35,115,88,10,12,254
Illinois,Clark County,"15,924",114,120,"7,566","7,821",22,24,4,5,30,30,0,0,188
Illinois,Clay County,"13,393",96,86,"6,353","6,547",41,45,5,4,49,47,0,0,120
Illinois,Clinton County,"37,640",632,528,"17,758","16,703",799,539,55,53,108,108,0,0,357
Illinois,Coles County,"52,540",585,666,"23,198","24,577",899,"1,071",36,48,296,347,10,12,795
Illinois,Cook County,"5,238,541","652,849","658,148","1,091,946","1,142,397","566,325","658,676","2,389","2,608","178,067","183,973",526,553,"100,084"
Illinois,Crawford County,"19,214",334,221,"9,023","8,457",511,276,5,3,28,38,3,2,313
Illinois,Cumberland County,"10,899",57,63,"5,275","5,262",4,4,11,11,18,19,7,8,160
Illinois,De Witt County,"16,176",207,205,"7,206","7,202",34,33,12,12,10,9,12,13,"1,221"
Illinois,DeKalb County,"104,473","5,533","5,727","40,428","40,672","3,462","3,937",22,23,"1,205","1,282",0,0,"2,182"
Illinois,Douglas County,"19,830",678,747,"8,875","9,070",30,31,27,27,73,74,7,7,184
Illinois,DuPage County,"931,826","65,099","65,970","309,740","322,406","20,658","21,571",252,264,"51,382","53,649",117,119,"20,599"
Illinois,Edgar County,"17,603",94,97,"8,393","8,702",48,48,14,15,28,32,0,0,132
Illinois,Edwards County,"6,570",39,40,"3,110","3,239",13,13,0,0,27,28,0,0,61
Illinois,Effingham County,"34,164",303,342,"16,380","16,418",89,95,9,9,36,45,2,4,432
Illinois,Fayette County,"21,980",220,155,"10,654","9,516",705,409,32,27,51,52,0,0,159
Illinois,Ford County,"13,470",199,202,"6,268","6,434",57,61,22,24,28,30,2,1,142
Illinois,Franklin County,"39,302",323,315,"18,528","19,205",120,121,31,30,81,93,17,19,419
Illinois,Fulton County,"35,733",607,417,"16,941","15,911",844,490,22,23,49,35,9,5,380
Illinois,Gallatin County,"5,226",26,29,"2,370","2,635",6,7,12,13,7,7,0,0,114
Illinois,Greene County,"13,311",27,26,"6,458","6,410",85,83,15,14,12,11,0,0,170
Illinois,Grundy County,"50,333","2,328","2,378","21,948","21,903",321,323,9,9,184,186,7,8,729
Illinois,Hamilton County,"8,259",12,12,"4,000","4,169",24,24,4,4,5,4,0,0,1
Illinois,Hancock County,"18,264",127,128,"8,750","8,835",57,62,0,0,38,39,0,0,228
Illinois,Hardin County,"4,161",39,34,"2,021","1,853",80,75,4,3,1,1,0,0,50
Illinois,Henderson County,"6,927",51,53,"3,274","3,391",4,4,10,9,24,23,0,0,84
Illinois,Henry County,"49,649","1,340","1,378","22,363","22,724",421,432,26,26,136,141,0,0,662
Illinois,Iroquois County,"28,457",914,954,"12,531","13,167",151,170,3,3,54,55,0,0,455
Illinois,Jackson County,"59,115","1,297","1,206","21,996","21,996","4,139","4,404",66,62,999,975,2,1,"1,972"
Illinois,Jasper County,"9,608",66,69,"4,638","4,694",16,19,3,2,0,0,0,0,101
Illinois,Jefferson County,"38,358",514,406,"16,778","16,119","1,755","1,485",17,13,205,227,0,0,839
Illinois,Jersey County,"22,215",135,145,"10,438","10,902",51,51,14,13,41,45,12,11,357
Illinois,Jo Daviess County,"22,046",309,328,"10,525","10,399",40,40,18,18,52,50,7,7,253
Illinois,Johnson County,"12,899",356,69,"5,509","5,408","1,409",17,4,5,8,8,0,0,106
Illinois,Kane County,"529,402","84,157","83,017","150,441","154,173","14,198","14,189",209,210,"10,305","10,328",56,52,"8,067"
Illinois,Kankakee County,"110,801","5,457","5,662","39,458","40,475","8,004","8,647",117,118,513,542,6,6,"1,796"
Illinois,Kendall County,"122,933","10,710","10,903","43,280","44,205","3,850","3,969",52,49,"1,934","2,004",0,0,"1,977"
Illinois,Knox County,"51,374","1,466","1,370","21,538","21,272","2,370","1,945",7,10,262,266,0,0,868
Illinois,LaSalle County,"111,151","5,154","5,140","47,933","47,739","1,490","1,208",119,125,416,424,11,12,"1,380"
Illinois,Lake County,"704,476","75,110","73,658","220,123","222,012","23,367","23,261",295,295,"24,591","25,311",166,142,"16,145"
Illinois,Lawrence County,"16,457",374,242,"7,408","6,501",968,445,23,23,33,27,0,0,413
Illinois,Lee County,"34,670","1,162",866,"15,697","14,369","1,121",669,28,28,117,113,27,25,448
Illinois,Livingston County,"36,812",854,767,"16,678","16,155",886,582,2,2,125,117,0,0,644
Illinois,Logan County,"29,488",468,528,"12,579","12,922",870,"1,094",13,14,117,117,2,3,761
Illinois,Macon County,"107,587","1,071","1,232","39,697","42,791","6,923","7,951",152,167,551,652,2,2,"6,396"
Illinois,Macoupin County,"45,960",246,256,"21,851","22,396",169,181,15,16,96,103,1,1,629
Illinois,Madison County,"266,153","4,048","4,223","111,251","116,278","10,829","11,608",230,232,"1,171","1,233",40,42,"4,968"
Illinois,Marion County,"38,305",346,365,"17,213","17,832",613,672,34,37,110,132,0,0,951
Illinois,Marshall County,"11,925",179,183,"5,630","5,676",25,27,5,5,12,13,10,9,151
Illinois,Mason County,"13,904",70,66,"6,715","6,723",39,43,5,5,10,10,0,0,218
Illinois,Massac County,"14,594",185,204,"6,225","6,717",423,463,7,7,11,13,0,0,339
Illinois,McDonough County,"31,597",419,427,"13,721","14,126",745,746,30,33,327,358,0,0,665
Illinois,McHenry County,"308,043","19,190","19,284","125,700","126,589","1,896","1,897",88,85,"4,043","4,125",17,15,"5,114"
Illinois,McLean County,"173,231","3,932","4,260","67,349","70,883","6,672","7,131",121,129,"4,283","4,424",16,15,"4,016"
Illinois,Menard County,"12,416",86,92,"5,826","6,069",31,33,6,6,21,21,22,25,178
Illinois,Mercer County,"15,794",175,174,"7,499","7,632",43,44,3,2,19,21,0,0,182
Illinois,Monroe County,"33,739",247,256,"16,013","16,559",68,73,7,7,108,116,0,0,285
Illinois,Montgomery County,"29,173",281,217,"13,472","13,032","1,234",515,26,20,15,14,4,4,339
Illinois,Morgan County,"34,442",423,373,"15,289","15,367","1,153",942,38,37,106,120,0,0,594
Illinois,Moultrie County,"14,711",88,92,"6,960","7,312",43,44,13,14,13,14,0,0,118
Illinois,Ogle County,"51,619","2,590","2,478","22,356","22,692",280,265,16,20,121,120,4,3,674
Illinois,Peoria County,"186,145","4,084","4,415","63,834","67,142","15,369","16,932",209,218,"3,483","3,679",4,4,"6,772"
Illinois,Perry County,"21,467",376,271,"10,059","8,452","1,157",705,28,21,68,52,0,0,278
Illinois,Piatt County,"16,433",100,103,"7,529","7,704",83,87,5,6,30,33,0,0,753
Illinois,Pike County,"15,930",96,102,"7,551","7,659",132,125,16,18,22,25,0,0,184
Illinois,Pope County,"4,360",45,36,"2,098","1,844",111,100,3,3,22,20,0,0,78
Illinois,Pulaski County,"5,691",57,60,"1,760","1,860",837,899,6,6,7,7,0,0,192
Illinois,Putnam County,"5,771",155,149,"2,733","2,598",9,8,0,0,11,9,0,0,99
Illinois,Randolph County,"32,829",631,362,"14,933","12,963","2,424","1,050",16,16,54,49,0,0,331
Illinois,Richland County,"15,953",127,131,"7,566","7,676",31,33,24,24,57,57,0,0,227
Illinois,Rock Island County,"146,205","9,124","9,191","52,051","54,072","7,087","6,955",138,152,"1,697","1,763",21,22,"3,932"
Illinois,Saline County,"24,430",202,216,"11,028","11,336",401,433,9,8,79,83,0,0,635
Illinois,Sangamon County,"198,134","2,066","2,244","76,937","83,025","11,813","13,091",52,52,"1,757","1,941",31,32,"5,093"
Illinois,Schuyler County,"7,181",10,5,"3,596","3,110",250,146,0,0,0,0,0,0,64
Illinois,Scott County,"5,109",28,29,"2,432","2,532",3,3,12,13,1,1,3,3,49
Illinois,Shelby County,"21,906",106,109,"10,600","10,724",67,74,20,22,39,38,0,0,107
Illinois,St. Clair County,"264,433","5,097","5,143","80,055","84,169","36,963","41,649",192,197,"1,772","1,867",31,30,"7,268"
Illinois,Stark County,"5,551",39,40,"2,631","2,701",17,18,0,0,23,23,0,0,59
Illinois,Stephenson County,"45,839",796,853,"18,518","19,669","2,086","2,276",26,27,158,186,0,0,"1,244"
Illinois,Tazewell County,"134,695","1,495","1,492","62,504","64,304",869,763,92,83,615,639,4,5,"1,830"
Illinois,Union County,"17,267",424,430,"7,963","7,813",62,58,3,3,20,18,0,0,473
Illinois,Vermilion County,"79,207","1,983","1,834","30,685","31,668","5,649","5,324",99,102,318,355,9,10,"1,171"
Illinois,Wabash County,"11,568",117,111,"5,385","5,596",45,49,3,2,68,66,0,0,126
Illinois,Warren County,"17,429",770,841,"7,129","7,572",229,247,4,4,195,206,0,0,232
Illinois,Washington County,"14,260",100,99,"6,907","6,807",37,35,20,19,28,28,4,4,172
Illinois,Wayne County,"16,569",112,113,"7,911","8,058",45,47,19,20,36,37,0,0,171
Illinois,White County,"14,186",93,99,"6,720","6,980",29,29,4,4,47,51,5,5,120
Illinois,Whiteside County,"56,823","3,309","3,363","23,734","24,486",425,444,36,37,126,130,18,18,697
Illinois,Will County,"687,727","57,191","58,089","220,627","224,456","38,138","37,599",233,232,"17,765","17,857",55,55,"15,430"
Illinois,Williamson County,"67,477",840,859,"30,291","30,524","1,381","1,283",60,49,323,347,0,0,"1,520"
Illinois,Winnebago County,"287,512","17,073","17,865","98,455","103,417","17,473","17,969",187,187,"3,506","3,670",16,21,"7,673"
Illinois,Woodford County,"38,942",325,339,"18,541","18,715",110,111,10,9,150,152,0,0,480
Indiana,Adams County,"35,018",760,787,"16,277","16,536",161,165,0,0,65,67,0,0,200
Indiana,Allen County,"367,747","12,818","13,633","134,316","139,931","19,907","21,427",277,286,"6,159","6,678",58,63,"12,194"
Indiana,Bartholomew County,"81,024","2,640","2,588","33,882","33,543",692,695,95,92,"2,499","2,554",31,33,"1,680"
Indiana,Benton County,"8,685",223,216,"4,034","4,026",36,37,0,0,5,5,0,0,103
Indiana,Blackford County,"12,214",84,93,"5,806","5,909",15,14,12,11,26,25,0,0,219
Indiana,Boone County,"63,013",850,867,"28,618","29,120",491,511,58,61,797,833,0,0,807
Indiana,Brown County,"15,007",117,125,"7,132","7,250",41,41,0,0,52,53,0,0,196
Indiana,Carroll County,"19,994",385,387,"9,399","9,433",52,53,18,17,9,9,1,1,230
Indiana,Cass County,"38,248","2,715","2,837","15,521","15,446",256,250,54,54,273,300,2,3,537
Indiana,Clark County,"114,893","2,901","3,115","47,012","49,340","3,690","3,932",44,46,397,437,8,7,"3,964"
Indiana,Clay County,"26,375",166,177,"12,437","12,982",49,52,4,4,32,31,0,0,441
Indiana,Clinton County,"32,455","2,410","2,513","13,335","13,596",87,93,31,30,43,41,9,9,258
Indiana,Crawford County,"10,598",75,73,"5,158","5,049",9,9,31,30,0,0,0,0,164
Indiana,Daviess County,"32,777",828,724,"15,263","14,986",287,251,4,4,32,33,4,4,357
Indiana,DeKalb County,"42,524",587,585,"20,118","20,323",36,36,12,12,60,63,0,0,692
Indiana,Dearborn County,"49,564",282,301,"23,888","23,846",185,207,57,56,88,105,0,0,549
